"","0.80800000000000005","X2","73","X4","X5","X6","X7","74","X9","X10","X11","X12","X13","X14","X15","X16","75","X18","X19","X20","X21","76","X23","X24","X25","X26","77","X28","X29","X30","X31","78","X33","X34","X35","X36"
"1","Digital Access Attribute Totals
(sorted by winner below)",NA,"Cellular competitiveness level","raw data","difference","raw score","weighted score","Average cost of baseline package with data","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Free WIFI scale","raw data","difference","raw score","weighted score","Mobile phone infrastructure","raw data","difference","raw score","weighted score","Municipal government open urban data scale","raw data","difference","raw score","weighted score","Gamers + Developers scale","raw data","difference","raw score","weighted score"
"14","Dallas","56.226491374286674","Dallas","7","37","11.904761904761912","9.6190476190476257","Dallas","41","1","41","7.25","5.6551724137931032","5.5707193525686138","77.285355561063227","62.446567293339093","Dallas","10","3","70","56.56","Dallas","3","0","100","80.800000000000011","Dallas","4","2","83.333333333333329","67.333333333333329","Dallas","4","1","75","60.6"
"15","Dar Es Salaam","20.583090980659914","Dar Es Salaam","7","37","11.904761904761912","9.6190476190476257","Dar Es Salaam","8970","5.9999999999999995E-4","5.3819999999999997","0.26","20.7","20.615546938775509","15.939973100138417","12.879498264911842","Dar Es Salaam","3","10","0","0","Dar Es Salaam","3","0","100","80.800000000000011","Dar Es Salaam","-6","12","0","0","Dar Es Salaam","2","3","25","20.200000000000003"
"16","Detroit","55.896072284431142","Detroit","7","37","11.904761904761912","9.6190476190476257","Detroit","41","1","41","8.15","5.0306748466257662","4.9462217854012769","79.831748458175582","64.504052754205873","Detroit","7","6","40","32.32","Detroit","3","0","100","80.800000000000011","Detroit","4","2","83.333333333333329","67.333333333333329","Detroit","5","0","100","80.800000000000011"
"17","Dubai","47.846749128306271","Dubai","2","42","0","0","Dubai","75","0.27229999999999999","20.422499999999999","1.56","13.091346153846153","13.006893092621663","46.96430870854487","37.94716143650426","Dubai","8","5","50","40.400000000000006","Dubai","3","0","100","80.800000000000011","Dubai","4","2","83.333333333333329","67.333333333333329","Dubai","4","1","75","60.6"
"18","Durban","44.82439539586963","Durban","4","40","4.7619047619047592","3.8476190476190455","Durban","56.25","0.1038","5.8387500000000001","1.38","4.2309782608695654","4.146525199645076","83.092516494552825","67.138753327598693","Durban","5","8","20","16.16","Durban","3","0","100","80.800000000000011","Durban","6","0","100","80.800000000000011","Durban","2","3","25","20.200000000000003"
"19","Hong Kong","65.306159900149311","Hong Kong","7","37","11.904761904761912","9.6190476190476257","Hong Kong","127.40","0.12889999999999999","16.421859999999999","3.87","4.243374677002584","4.1589216157780946","83.041970027039824","67.097911781848182","Hong Kong","12","1","90","72.72","Hong Kong","3","0","100","80.800000000000011","Hong Kong","6","0","100","80.800000000000011","Hong Kong","5","0","100","80.800000000000011"
"20","Istanbul","36.587940570083319","Istanbul","3","41","2.3809523809523796","1.9238095238095227","Istanbul","39.630000000000003","0.52529999999999999","20.817639","2.4700000000000002","8.4281939271255055","8.3437408659010153","65.978342281382481","53.310500563357046","Istanbul","10","3","70","56.56","Istanbul","2","1","50","40.400000000000006","Istanbul","-2","8","33.333333333333329","26.93333333333333","Istanbul","3","2","50","40.400000000000006"
"21","Jakarta","55.425361112733071","Jakarta","6","38","9.5238095238095184","7.695238095238091","Jakarta","29900","1E-4","2.99","1.47","2.0340136054421771","1.9495605442176873","92.050654184604355","74.376928581160328","Jakarta","9","4","60","48.480000000000004","Jakarta","3","0","100","80.800000000000011","Jakarta","6","0","100","80.800000000000011","Jakarta","3","2","50","40.400000000000006"
"22","Johannesburg","35.173284284758516","Johannesburg","4","40","4.7619047619047592","3.8476190476190455","Johannesburg","56.25","0.1038","5.8387500000000001","1.38","4.2309782608695654","4.146525199645076","83.092516494552825","67.138753327598693","Johannesburg","7","6","40","32.32","Johannesburg","3","0","100","80.800000000000011","Johannesburg","-5","11","8.3333333333333286","6.7333333333333298","Johannesburg","2","3","25","20.200000000000003"
"23","Karachi","53.85190941677434","Karachi","6","38","9.5238095238095184","7.695238095238091","Karachi","150","9.9000000000000008E-3","1.4850000000000001","0.52","2.8557692307692308","2.771316169544741","88.699940270719338","71.669551738741234","Karachi","9","4","60","48.480000000000004","Karachi","3","0","100","80.800000000000011","Karachi","2","4","66.666666666666657","53.86666666666666","Karachi","4","1","75","60.6"
"24","Lagos","50.837337882033069","Lagos","9","35","16.666666666666671","13.466666666666672","Lagos","1368.3","6.3E-3","8.6202899999999989","0.71","12.14125352112676","12.05680045990227","50.838317605856048","41.077360625531689","Lagos","4","9","10","8.08","Lagos","3","0","100","80.800000000000011","Lagos","6","0","100","80.800000000000011","Lagos","5","0","100","80.800000000000011"
"25","Lima","53.161269841269849","Lima","4","40","4.7619047619047592","3.8476190476190455","Lima","0.33","0.37619999999999998","0.12414599999999999","1.47","8.4453061224489798E-2","0","100","80.800000000000011","Lima","7","6","40","32.32","Lima","3","0","100","80.800000000000011","Lima","6","0","100","80.800000000000011","Lima","3","2","50","40.400000000000006"
"26","London","64.895443467185174","London","11","33","21.428571428571431","17.314285714285717","London","12.16","1.5636000000000001","19.013376000000001","7.85","2.4220861146496819","2.3376330534251921","90.468286001021383","73.098375088825279","London","10","3","70","56.56","London","3","0","100","80.800000000000011","London","6","0","100","80.800000000000011","London","5","0","100","80.800000000000011"
