"","0.75900000000000001","X2","86","X4","X5","X6","X7","87","X9","X10","X11","X12","X13","X14","X15","X16","88","X18","X19","X20","X21","X22","X23"
"1","Film Attribute Totals
(sorted by winner below)",NA,"FIlm festivals","raw data","difference","raw score","weighted score","Cost of a movie ticket","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Number of cinema seats","raw data","population","per 10000","difference","raw score","weighted score"
"11","Caracas","5.9256251153285318","Caracas","6","74","7.5","5.6924999999999999","Caracas","90","0.1651","14.859","0.53","28.035849056603773","27.095051890970471","0","0","Caracas","19797","2906376","68.115756529781407","358.92006888647325","15.921443143591034","12.084375345985595"
"12","Casablanca","23.667768002699358","Casablanca","3","77","3.75","2.8462499999999999","Casablanca","57.95","0.1201","6.9597950000000006","1.47","4.7345544217687081","3.7937572561354043","85.998339211892457","65.272739461826376","Casablanca","6640","4055807","16.371587701288547","410.66423771496608","3.8001509173540171","2.8843145462716988"
"13","Chicago","52.791538719957884","Chicago","28","52","35","26.565000000000001","Chicago","11.77","1","11.77","8.25","1.4266666666666665","0.48586950103336257","98.206796196632197","74.538958313243839","Chicago","87615","2718782","322.25827594856815","104.77754946768647","75.455412182647976","57.270657846629817"
"14","Dallas","44.223540311336556","Dallas","9","71","11.25","8.5387500000000003","Dallas","10.41","1","10.41","7.25","1.4358620689655173","0.49506490333221331","98.172858626274873","74.513199697342628","Dallas","35126","1258000","279.22098569157396","147.81483972468067","65.37374339481822","49.618671236667026"
"15","Dar Es Salaam","5.6042481818889769","Dar Es Salaam","3","77","3.75","2.8462499999999999","Dar Es Salaam","10000","5.9999999999999995E-4","5.9999999999999991","0.26","23.076923076923073","22.136125911289771","18.301961552372148","13.891188818250461","Dar Es Salaam","250","4364541","0.57279791849818795","426.46302749775646","9.921703216926403E-2","7.5305727416471402E-2"
"16","Detroit","56.38734209395566","Detroit","19","61","23.75","18.026250000000001","Detroit","9.6","1","9.6","8.15","1.1779141104294477","0.23711694479614376","99.12486993658365","75.23577628186699","Detroit","29410","688701","427.03582541625462","0","100","75.900000000000006"
"17","Dubai","26.842121506255172","Dubai","5","75","6.25","4.7437500000000004","Dubai","36.549999999999997","0.27229999999999999","9.9525649999999981","1.56","6.3798493589743579","5.4390521933410536","79.926031456859334","60.663857875756236","Dubai","18858","2213845","85.182115279073287","341.85371013718134","19.919310465097865","15.118756643009281"
"18","Durban","23.452299459120272","Durban","2","78","2.5","1.8975","Durban","52.2","0.1038","5.4183600000000007","1.38","3.9263478260869573","2.9855506604536535","88.981196004099189","67.536727767111287","Durban","1688","3161844","5.3386568091278388","421.6971686071268","1.2156398027003092","0.92267061024953467"
"19","Hong Kong","37.915991586473659","Hong Kong","30","50","37.5","28.462499999999999","Hong Kong","84.22","0.12889999999999999","10.855957999999999","3.87","2.8051571059431524","1.8643599403098485","93.119186677287175","70.67746268806097","Hong Kong","58206","7071600","82.309519769217715","344.7263056470369","19.246392715889328","14.608012071360001"
"20","Istanbul","30.648575983064884","Istanbul","23","57","28.75","21.821249999999999","Istanbul","15.69","0.52529999999999999","8.2419569999999993","2.4700000000000002","3.3368246963562749","2.396027530722971","91.156955371908865","69.188129127278827","Istanbul","7786","14377018","5.41558757177601","421.62023784447859","1.2336611619444255","0.93634882191581903"
