"","0.87","X2","14","X4","X5","X6","X7","15","X9","X10","X11","X12","16","X14","X15","X16","X17","X18","X19","17","X21","X22","X23","X24","X25","X26","18","X28","X29","X30","X31","19","X33","X34","X35","X36","20","X38","X39","X40","X41","21","X43","X44","X45","X46","22","X48","X49","X50","X51","23","X53","X54","X55","X56","X57","X58","X59","X60"
"1","Transit Attribute Totals
(sorted by winner below)",NA,"KMs of dedicated public transportation","raw data","Difference","Raw score","Weighted score","HRs/week dedicated transit","raw data","Difference","Raw score","Weighted Score","Public bike rentals","raw data","population","per 1000","difference","raw score","weighted score","KMs bike paths","raw data","Area","Area balanced data","difference","raw score","weighted score","Commute time by transit","raw data","difference","raw score","weighted score","Commute time by foot","raw data","difference","raw score","weighted score","Commute time to airport","raw data","difference","raw score","weighted score","Real time transit app","raw data","difference","raw score","weighted score","Density","raw data","difference","raw score","weighted score","Standing rate for a taxi","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score"
"27","Los Angeles","36.57033660872488","Los Angeles","182","3571","4.8494537703170835","4.2190247801758627","Los Angeles","156","12","92.857142857142861","80.785714285714292","Los Angeles","0","3884307","0","7.3749757240382419","0","0","Los Angeles","130","1302","9.9846390168970817E-2","3.3793220885646118","2.8698348694316422","2.4967563364055287","Los Angeles","123","123","34.920634920634924","30.380952380952383","Los Angeles","595","550","35.672514619883046","31.03508771929825","Los Angeles","95","80","40.740740740740748","35.44444444444445","Los Angeles","1","0","100","87","Los Angeles","2983.34","24166.81","9.7090694024282698","8.4468903801125954","Los Angeles","2.85","1","2.85","9","0.31666666666666665","0.31666666666666665","98.729305471431459","85.894495760145375"
"28","Madrid","47.460056373163624","Madrid","325","3428","8.6597388755662195","7.5339728217426112","Madrid","140","28","83.333333333333329","72.5","Madrid","1580","3165235","0.49917304718291056","6.8758026768553311","6.7684703768703969","5.8885692278772455","Madrid","30","605.77","4.9523746636512211E-2","3.4296447320970702","1.4234362876999569","1.2383895702989625","Madrid","53","53","71.957671957671963","62.603174603174608","Madrid","172","127","85.146198830409361","74.07719298245614","Madrid","53","38","71.851851851851848","62.511111111111106","Madrid","1","0","100","87","Madrid","5225.1400000000003","21925.010000000002","18.08478006567411","15.733758657136475","Madrid","2","1.3277000000000001","2.6554000000000002","6.24","0.42554487179487183","0.42554487179487183","98.292407767631119","85.514394757839071"
"29","Manila","42.218275137880426","Manila","31","3722","0.82600586197709447","0.71862509992007217","Manila","126","42","75","65.25","Manila","0","11855975","0","7.3749757240382419","0","0","Manila","1.75","638.54999999999995","2.7405841359329735E-3","3.4764278945976494","7.8771239527057446E-2","6.8530978388539984E-2","Manila","17","17","91.005291005291014","79.174603174603178","Manila","55","10","98.830409356725141","85.982456140350877","Manila","80","65","51.851851851851855","45.111111111111114","Manila","0","1","0","0","Manila","18567.03","8583.1200000000026","67.93213948259492","59.100961349857577","Manila","3.5","2.3599999999999999E-2","8.2599999999999993E-2","1.29","6.4031007751937971E-2","6.4031007751937971E-2","99.743061522497527","86.776463524572847"
"30","Mexico City","51.262585922241577","Mexico City","3753","0","100","87","Mexico City","81.14","86.86","48.297619047619051","42.018928571428575","Mexico City","4000","8851080","0.45192225129588703","6.9230534727423549","6.1277795101464108","5.3311681738273773","Mexico City","128","1495","8.5618729096989962E-2","3.3935497496365925","2.460896321070237","2.1409797993311064","Mexico City","53","53","71.957671957671963","62.603174603174608","Mexico City","361","316","63.040935672514621","54.845614035087721","Mexico City","40","25","81.481481481481481","70.888888888888886","Mexico City","1","0","100","87","Mexico City","5920.45","21229.7","20.682565497586637","17.993831982900375","Mexico City","8.74","7.8399999999999997E-2","0.68521600000000005","0.56999999999999995","1.2021333333333335","1.2021333333333335","95.176176054916212","82.803273167777107"
"31","Miami","46.042844226733564","Miami","50","3703","1.332267519317881","1.1590727418065565","Miami","140","28","83.333333333333329","72.5","Miami","1000","2496435","0.4005712145519511","6.9744045094862912","5.4314919742219132","4.7253980175730641","Miami","88","4916","1.7900732302685109E-2","3.4612677464308974","0.51451179820993787","0.44762526444264594","Miami","71","71","62.433862433862437","54.317460317460323","Miami","145","100","88.304093567251471","76.824561403508781","Miami","30","15","88.888888888888886","77.333333333333329","Miami","1","0","100","87","Miami","507.82","26642.33","0.46014476103370328","0.40032594209932187","Miami","2.95","1","2.95","8.0500000000000007","0.36645962732919252","0.36645962732919252","98.529500284036402","85.720665247111668"
"32","Montreal","43.461567839891664","Montreal","71","3682","1.8918198774313879","1.6458832933653074","Montreal","132.5","35.5","78.86904761904762","68.616071428571431","Montreal","5120","3824220","1.3388351088588","6.0361406151794421","18.153756147223049","15.793767848084054","Montreal","530","1545","0.34304207119741098","3.1361264075361714","9.8598867313915974","8.578101456310689","Montreal","111","111","41.269841269841272","35.904761904761905","Montreal","285","240","71.929824561403507","62.578947368421048","Montreal","54","39","71.111111111111114","61.866666666666667","Montreal","1","0","100","87","Montreal","2475.2199999999998","24674.93","7.8106546900505123","6.7952695803439456","Montreal","3.45","0.97109999999999996","3.350295","10.050000000000001","0.33336268656716417","0.33336268656716417","98.662309025737457","85.836208852391593"
"33","Moscow","44.342493888206818","Moscow","332.2","3420.8","8.8515853983479929","7.7008792965627535","Moscow","133","35","79.166666666666671","68.875","Moscow","2500","11503501","0.21732514301515685","7.157650581023085","2.9467913000282948","2.5637084310246165","Moscow","150","2511","5.9737156511350059E-2","3.4194313222222323","1.7169952210274886","1.493785842293915","Moscow","69","69","63.492063492063494","55.238095238095241","Moscow","184","139","83.742690058479525","72.856140350877183","Moscow","76","61","54.814814814814817","47.68888888888889","Moscow","1","0","100","87","Moscow","4581.24","22568.910000000003","15.679070325258365","13.640791182974779","Moscow","6.98","3.1399999999999997E-2","0.21917200000000001","1.21","0.18113388429752067","0.18113388429752067","99.273160518794015","86.367649651350789"
"34","Mumbai","54.485213883628148","Mumbai","116.4","3636.6","3.1015187849720292","2.6983213429256652","Mumbai","147","21","87.5","76.125","Mumbai","0","12442373","0","7.3749757240382419","0","0","Mumbai","13","458.28","2.8366937243606529E-2","3.4508015414899762","0.81533669372436179","0.70934292354019479","Mumbai","58","58","69.312169312169317","60.301587301587304","Mumbai","311","266","68.888888888888886","59.93333333333333","Mumbai","15","0","100","87","Mumbai","1","0","100","87","Mumbai","27150.15","0","100","87","Mumbai","21","1.7100000000000001E-2","0.35910000000000003","0.43","0.83511627906976749","0.83511627906976749","96.648912568844821","84.084553934894998"
"35","Nairobi","30.037283749573373","Nairobi","160","3593","4.2632560618172164","3.7090327737809781","Nairobi","25","143","14.88095238095238","12.946428571428569","Nairobi","0","3138369","0","7.3749757240382419","0","0","Nairobi","100","696","0.14367816091954022","3.3354903178140423","4.129669540229898","3.5928125000000111","Nairobi","78","78","58.730158730158735","51.095238095238102","Nairobi","356","311","63.62573099415205","55.354385964912282","Nairobi","150","135","0","0","Nairobi","1","0","100","87","Nairobi","4509.1499999999996","22641","15.409730963266512","13.406465938041865","Nairobi","300","1.18E-2","3.54","0.9","3.9333333333333331","3.9333333333333331","84.21663638199071","73.26847365233192"
"36","New Delhi","35.147073116157095","New Delhi","190","3563","5.0626165734079507","4.4044764188649168","New Delhi","127.75","40.25","76.041666666666671","66.15625","New Delhi","80","16787941","4.7653253010598497E-3","7.3702103987371821","6.4614793043020313E-2","5.6214869947427672E-2","New Delhi","14.5","1484","9.7708894878706203E-3","3.4693975892457121","0.28083979110512303","0.24433061826145702","New Delhi","100","100","47.089947089947096","40.968253968253975","New Delhi","327","282","67.017543859649123","58.305263157894736","New Delhi","55","40","70.370370370370381","61.222222222222229","New Delhi","0","1","0","0","New Delhi","11312.63","15837.520000000002","40.828581879128677","35.520866234841947","New Delhi","25","1.7100000000000001E-2","0.42749999999999999","0.62","0.68951612903225801","0.68951612903225801","97.233165139407205","84.592853671284274"
"37","New York City","52.869299325521879","New York City","1160","2593","30.908606448174794","26.890487609912071","New York City","168","0","100","87","New York City","10950","8405837","1.3026662306204606","6.072309493417781","17.663329065267391","15.36709628678263","New York City","410","786","0.52162849872773542","2.9575399800058473","14.992907124681935","13.043829198473283","New York City","80","80","57.671957671957671","50.17460317460317","New York City","341","296","65.380116959064338","56.880701754385974","New York City","37","22","83.703703703703709","72.822222222222223","New York City","1","0","100","87","New York City","10694.45","16455.7","38.518966026775523","33.511500443294707","New York City","2.5","1","2.5","8.75","0.2857142857142857","0.2857142857142857","98.853508696028385","86.00255256554469"
"38","Osaka","51.630173724039864","Osaka","762.6","2990.4","20.319744204636294","17.678177458033577","Osaka","133","35","79.166666666666671","68.875","Osaka","60","2683487","2.2358968014378307E-2","7.3526167560238633","0.30317344559523463","0.2637608976678541","Osaka","87.2","223","0.39103139013452914","3.0881370885990536","11.239219730941699","9.778121165919277","Osaka","44","44","76.719576719576722","66.746031746031747","Osaka","150","105","87.719298245614041","76.31578947368422","Osaka","45","30","77.777777777777771","67.666666666666657","Osaka","1","0","100","87","Osaka","12033.57","15116.580000000002","43.522124945218636","37.864248702340213","Osaka","680","1.0200000000000001E-2","6.9360000000000008","8.39","0.82669845053635282","0.82669845053635282","96.682690954086411","84.113941130055181"
"39","Paris","51.109933756323151","Paris","214","3539","5.7021049826805239","4.9608313349320561","Paris","135","33","80.357142857142861","69.910714285714292","Paris","20000","6500000","3.0769230769230771","4.2980526471151652","41.721128205128203","36.297381538461536","Paris","440","762","0.57742782152230976","2.9017406572112727","16.596719160104996","14.439145669291346","Paris","62","62","67.195767195767189","58.460317460317455","Paris","219","174","79.649122807017548","69.294736842105266","Paris","60","45","66.666666666666671","58.000000000000007","Paris","1","0","100","87","Paris","8530.18","18619.97","30.432919404800728","26.476639882176634","Paris","2","1.3277000000000001","2.6554000000000002","12.52","0.21209265175718853","0.21209265175718853","99.148931666934359","86.259570550232894"
"40","Quito","37.797206357532147","Quito","689","3064","18.358646416200372","15.972022382094323","Quito","131","37","77.976190476190482","67.839285714285722","Quito","625","1607733","0.38874614130580143","6.9862295827324408","5.2711514702171769","4.5859017790889443","Quito","49.64","372.39","0.13330110905233761","3.3458673696812449","3.8314071269368242","3.3333242004350372","Quito","79","79","58.201058201058203","50.634920634920633","Quito","360","315","63.15789473684211","54.947368421052637","Quito","38","23","82.962962962962962","72.177777777777777","Quito","0","1","0","0","Quito","7169.9","19980.25","25.350703461808479","22.055112011773378","Quito","0.35","1","0.35","2.13","0.16431924882629106","0.16431924882629106","99.340632935509277","86.426350653893067"
