"","0.71399999999999997","X2","98","X4","X5","X6","X7","99","X9","X10","X11","X12"
"1","Fashion Attribute Totals
(sorted by winner below)",NA,"Young designer showcase scale","raw data","difference","raw score","weighted score","Number of fashion incubators","raw data","difference","raw score","weighted score"
"18","Durban","12.815384615384614","Durban","10","42","19.230769230769226","13.730769230769226","Durban","3","15","16.666666666666671","11.900000000000002"
"19","Hong Kong","26.469871794871796","Hong Kong","1","51","1.9230769230769198","1.3730769230769206","Hong Kong","13","5","72.222222222222229","51.56666666666667"
"20","Istanbul","2.6698717948717943","Istanbul","1","51","1.9230769230769198","1.3730769230769206","Istanbul","1","17","5.5555555555555571","3.9666666666666677"
"21","Jakarta","15.027564102564103","Jakarta","19","33","36.53846153846154","26.088461538461537","Jakarta","1","17","5.5555555555555571","3.9666666666666677"
"22","Johannesburg","16.400641025641022","Johannesburg","21","31","40.38461538461538","28.834615384615379","Johannesburg","1","17","5.5555555555555571","3.9666666666666677"
"23","Karachi","2.6698717948717943","Karachi","1","51","1.9230769230769198","1.3730769230769206","Karachi","1","17","5.5555555555555571","3.9666666666666677"
"24","Lagos","10.984615384615386","Lagos","16","36","30.769230769230774","21.969230769230773","Lagos","0","18","0","0"
"25","Lima","0","Lima","0","52","0","0","Lima","0","18","0","0"
"26","London","41.878846153846148","London","9","43","17.307692307692307","12.357692307692306","London","18","0","100","71.399999999999991"
"27","Los Angeles","20.901282051282056","Los Angeles","16","36","30.769230769230774","21.969230769230773","Los Angeles","5","13","27.777777777777786","19.833333333333339"
"28","Madrid","18.383974358974356","Madrid","21","31","40.38461538461538","28.834615384615379","Madrid","2","16","11.111111111111114","7.9333333333333353"
"29","Manila","0","Manila","0","52","0","0","Manila","0","18","0","0"
"30","Mexico City","7.5519230769230736","Mexico City","11","41","21.153846153846146","15.103846153846147","Mexico City","0","18","0","0"
"31","Miami","10.984615384615386","Miami","16","36","30.769230769230774","21.969230769230773","Miami","0","18","0","0"
"32","Montreal","4.6532051282051281","Montreal","1","51","1.9230769230769198","1.3730769230769206","Montreal","2","16","11.111111111111114","7.9333333333333353"
"33","Moscow","4.6532051282051281","Moscow","1","51","1.9230769230769198","1.3730769230769206","Moscow","2","16","11.111111111111114","7.9333333333333353"
"34","Mumbai","28.148076923076921","Mumbai","41","11","78.84615384615384","56.296153846153842","Mumbai","0","18","0","0"
"35","Nairobi","0","Nairobi","0","52","0","0","Nairobi","0","18","0","0"
"36","New Delhi","11.671153846153846","New Delhi","17","35","32.692307692307693","23.342307692307692","New Delhi","0","18","0","0"
"37","New York City","51.566666666666663","New York City","52","0","100","71.399999999999991","New York City","8","10","44.444444444444443","31.733333333333331"
"38","Osaka","11.900000000000002","Osaka","0","52","0","0","Osaka","6","12","33.333333333333343","23.800000000000004"
"39","Paris","13.501923076923074","Paris","11","41","21.153846153846146","15.103846153846147","Paris","3","15","16.666666666666671","11.900000000000002"
"40","Quito","16.400641025641022","Quito","21","31","40.38461538461538","28.834615384615379","Quito","1","17","5.5555555555555571","3.9666666666666677"
"41","Rio De Janeiro","1.9833333333333338","Rio De Janeiro","0","52","0","0","Rio De Janeiro","1","17","5.5555555555555571","3.9666666666666677"
"42","Rome","11.594871794871795","Rome","14","38","26.92307692307692","19.223076923076921","Rome","1","17","5.5555555555555571","3.9666666666666677"
"43","San Francisco","7.3993589743589743","San Francisco","5","47","9.6153846153846132","6.8653846153846132","San Francisco","2","16","11.111111111111114","7.9333333333333353"
"44","Santiago","3.4326923076923066","Santiago","5","47","9.6153846153846132","6.8653846153846132","Santiago","0","18","0","0"
"45","Sao Paulo","1.9833333333333338","Sao Paulo","0","52","0","0","Sao Paulo","1","17","5.5555555555555571","3.9666666666666677"
"46","Seoul","21.816666666666666","Seoul","26","26","50","35.699999999999996","Seoul","2","16","11.111111111111114","7.9333333333333353"
"47","Shanghai","17.621153846153845","Shanghai","17","35","32.692307692307693","23.342307692307692","Shanghai","3","15","16.666666666666671","11.900000000000002"
"48","Singapore","2.6698717948717943","Singapore","1","51","1.9230769230769198","1.3730769230769206","Singapore","1","17","5.5555555555555571","3.9666666666666677"
"49","Sydney","10.984615384615386","Sydney","16","36","30.769230769230774","21.969230769230773","Sydney","0","18","0","0"
"50","Tehran","1.9833333333333338","Tehran","0","52","0","0","Tehran","1","17","5.5555555555555571","3.9666666666666677"
