"","0.877","X2","6","X4","X5","X6","X7","7","X9","X10","X11","X12","X13","X14","X15","X16","8","X18","X19","X20","X21","9","X23","X24","X25","X26","X27","X28","X29","X30","10","X32","X33","X34","X35","X36","X37","X38","X39","11","X41","X42","X43","X44","X45","X46","X47","X48","12","X50","X51","X52","X53","X54","X55","X56","X57","13","X59","X60","X61","X62","X63","X64","X65","X66"
"1","Affordibility Attribute Totals
(sorted by winner below)",NA,"Consumption tax rate","raw data","difference","score","weighted score","Rental housing","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","GINI coefficient","raw data","difference","score","weighted score","Cost of one minute prepaid cellular","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Food 12 eggs","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Monthly transit pass","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Price per square meter to buy an apartment","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Tube of toothpaste","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score"
"33","Moscow",66.393564080119,"Moscow","0.18","0.18","21.739130434782624","19.065217391304362","Moscow","103211","3.1399999999999997E-2","3240.8253999999997","1.21","2678.3680991735537","2678.3680991735537","75.21226577585135","65.961157085421632","Moscow","0.52","0.23700000000000004","58.638743455497377","51.426178010471197","Moscow","1.63","3.1399999999999997E-2","5.1181999999999991E-2","1.208","4.2369205298013239E-2","3.1781485999767628E-2","96.88861735530682","84.97131742060408","Moscow","71.53","3.1399999999999997E-2","2.2460419999999996","1.21","1.8562330578512394","1.5875214014095216","95.330452172322154","83.60480655512653","Moscow","1722.01","3.1399999999999997E-2","54.071113999999994","1.21","44.686871074380164","44.686201431523024","65.900142070923664","57.794424596200052","Moscow","6833.37","3.1399999999999997E-2","214.56781799999999","1.21","177.32877520661157","174.45377520661157","98.949968763923394","86.779122605960822","Moscow","88.96","3.1399999999999997E-2","2.7933439999999994","1.21","2.3085487603305781","2.1568452173722079","92.983225742147397","81.546288975863263"
"34","Mumbai",61.7577058429897,"Mumbai","0.1236","0.1236","46.260869565217398","40.570782608695659","Mumbai","58607.4","1.7100000000000001E-2","1002.18654","0.43","2330.6663720930233","2330.6663720930233","78.430172232700613","68.783261048078444","Mumbai","0.33900000000000002","5.600000000000005E-2","90.226876090750423","79.128970331588121","Mumbai","1.1100000000000001","1.7100000000000001E-2","1.8981000000000001E-2","0.42799999999999999","4.4348130841121498E-2","3.3760411542875887E-2","96.694882091008225","84.801411593814208","Mumbai","58.89","1.7100000000000001E-2","1.0070190000000001","0.43","2.3419046511627908","2.0731929947210732","93.901893961075857","82.351961003863522","Mumbai","1100","1.7100000000000001E-2","18.810000000000002","0.43","43.744186046511636","43.743516403654496","66.619501168193182","58.425302524505419","Mumbai","417855.04","1.7100000000000001E-2","7145.3211839999994","0.43","16617.026009302324","16614.151009302324","0","0","Mumbai","71.680000000000007","1.7100000000000001E-2","1.2257280000000002","0.43","2.8505302325581399","2.6988266895997697","91.220020106467729","79.999957633372205"
"35","Nairobi",70.0253139773478,"Nairobi","0.15","0.15","34.782608695652186","30.504347826086967","Nairobi","126570","1.18E-2","1493.5260000000001","0.9","1659.4733333333334","1659.4733333333334","84.641922836737294","74.230966327818606","Nairobi","0.34","5.7000000000000051E-2","90.052356020942398","78.975916230366479","Nairobi","4.32","1.18E-2","5.0976E-2","0.90500000000000003","5.6327071823204421E-2","4.573935252495881E-2","95.522153129444604","83.772928294522913","Nairobi","206.32","1.18E-2","2.4345759999999999","0.9","2.7050844444444442","2.4363727880027266","92.833634085480412","81.41509709296632","Nairobi","4318.18","1.18E-2","50.954523999999999","0.9","56.616137777777773","56.615468134920633","56.796967337952083","49.810940355383977","Nairobi","118000","1.18E-2","1392.3999999999999","0.9","1547.1111111111109","1544.2361111111109","90.705296284796688","79.548544841766699","Nairobi","165.45","1.18E-2","1.9523099999999998","0.9","2.1692333333333331","2.0175297903749629","93.436454788906246","81.943770849870774"
"36","New Delhi",74.3142574486694,"New Delhi","0.125","0.125","45.652173913043484","40.036956521739135","New Delhi","30373.7","1.7100000000000001E-2","519.39026999999999","0.62","837.72624193548381","837.72624193548381","92.247019577294452","80.900636169287239","New Delhi","0.33900000000000002","5.600000000000005E-2","90.226876090750423","79.128970331588121","New Delhi","1","1.7100000000000001E-2","1.7100000000000001E-2","0.62","2.7580645161290322E-2","1.6992925863044708E-2","98.33640583661753","86.24102791871357","New Delhi","62.52","1.7100000000000001E-2","1.0690920000000002","0.62","1.7243419354838712","1.4556302790421534","95.718397747980987","83.945034824979331","New Delhi","450","1.7100000000000001E-2","7.6950000000000003","0.62","12.411290322580646","12.410620679723504","90.529506012303614","79.394376772790267","New Delhi","181773.85","1.7100000000000001E-2","3108.3328350000002","0.62","5013.4400564516136","5010.5650564516136","69.84158231349781","61.251067688937582","New Delhi","57.4","1.7100000000000001E-2","0.98153999999999997","0.62","1.5831290322580645","1.4314254892996943","95.343203376647836","83.615989361320146"
"37","New York City",76.3543901916467,"New York City","8.8800000000000004E-2","8.8800000000000004E-2","61.391304347826086","53.840173913043479","New York City","4039.62","1","4039.62","8.75","461.67085714285713","461.67085714285713","95.72733318119225","83.952871199905601","New York City","0.505","0.22200000000000003","61.256544502617793","53.721989528795802","New York City","0.43","1","0.43","8.75","4.9142857142857141E-2","3.8555137844611523E-2","96.225482132762622","84.389747830432825","New York City","3.53","1","3.53","8.75","0.40342857142857141","0.13471691498685362","99.603742615898099","87.352482274142631","New York City","116.5","1","116.5","8.75","13.314285714285715","13.313616071428573","89.840433914400222","78.790060542928998","New York City","10254.64","1","10254.64","8.75","1171.9588571428571","1169.0838571428571","92.963324719461838","81.52883577896803","New York City","2.68","1","2.68","8.75","0.30628571428571433","0.15458217132734406","99.497104292994109","87.258960464955834"
"38","Osaka",79.358053570066,"Osaka","0.08","0.08","65.217391304347828","57.195652173913047","Osaka","186364","1.0200000000000001E-2","1900.9128000000001","8.39","226.56886769964242","226.56886769964242","97.90315271536501","85.861064931375111","Osaka","0.41499999999999998","0.13200000000000001","76.96335078534031","67.496858638743447","Osaka","43.5","1.0200000000000001E-2","0.44370000000000004","8.3930000000000007","5.2865483140712502E-2","4.2277763842466884E-2","95.861039956506445","84.070132041856155","Osaka","254.95","1.0200000000000001E-2","2.6004900000000002","8.39","0.30995113230035759","4.1239475858639796E-2","99.878697884173846","87.593618044420467","Osaka","7837","1.0200000000000001E-2","79.937400000000011","8.39","9.5276996424314664","9.5270299995743244","92.729962291170295","81.324176929356355","Osaka","570000","1.0200000000000001E-2","5814","8.39","692.96781883194274","690.09281883194274","95.846355203792498","84.057253513726025","Osaka","250","1.0200000000000001E-2","2.5500000000000003","8.39","0.3039332538736591","0.15222971091528884","99.504757453976168","87.265672287137093"
"39","Paris",75.679866779852,"Paris","0.2","0.2","13.043478260869563","11.439130434782607","Paris","2607.1799999999998","1.3277000000000001","3461.5528859999999","12.52","276.48185990415334","276.48185990415334","97.441218455664426","85.455948585617705","Paris","0.32","3.7000000000000033E-2","93.542757417102962","82.0369982547993","Paris","0.27","1.3277000000000001","0.35847900000000005","12.521000000000001","2.8630221228336396E-2","1.8042501930090781E-2","98.233653159813301","86.150913821156266","Paris","3.7","1.3277000000000001","4.9124900000000009","12.52","0.39237140575079882","0.12365974930908102","99.636266249233103","87.38100550057743","Paris","64.540000000000006","1.3277000000000001","85.689758000000012","12.52","6.8442298722044743","6.8435602293473314","94.777707120453556","83.120049144637775","Paris","9333.33","1.3277000000000001","12391.862241000001","12.52","989.76535471246018","986.89035471246018","94.059941105868745","82.490568349846896","Paris","2.54","1.3277000000000001","3.3723580000000002","12.52","0.26935766773162939","0.11765412477325912","99.617240761001383","87.364320147398217"
"40","Quito",76.5503587184084,"Quito","0.12","0.12","47.826086956521749","41.943478260869576","Quito","1100","1","1100","2.13","516.43192488262912","516.43192488262912","95.220531000646972","83.508405687567389","Quito","0.42","0.13700000000000001","76.090750436300169","66.731588132635252","Quito","0.14000000000000001","1","0.14000000000000001","2.13","6.5727699530516437E-2","5.5139980232270819E-2","94.601839022735859","82.965812822939355","Quito","1.98","1","1.98","2.13","0.92957746478873238","0.66086580834701458","98.056124158695795","85.995220887176217","Quito","18.46","1","18.46","2.13","8.6666666666666679","8.6659970238095259","93.387013040736065","81.900410436725522","Quito","1300","1","1300","2.13","610.32863849765261","607.45363849765261","96.343757570534081","84.493475389358395","Quito","2.44","1","2.44","2.13","1.1455399061032865","0.99383636314491619","96.766793762823042","84.864478129995803"
"41","Rio De Janeiro",64.851668751049,"Rio De Janeiro","0.19","0.19","17.391304347826093","15.252173913043483","Rio De Janeiro","5180.49","0.46410000000000001","2404.2654090000001","2.31","1040.8075363636365","1040.8075363636365","90.367544850226722","79.25233683364884","Rio De Janeiro","0.51800000000000002","0.23500000000000004","58.987783595113427","51.732286212914474","Rio De Janeiro","1.68","0.46410000000000001","0.77968799999999994","2.3069999999999999","0.33796618985695709","0.3273784705587115","67.949903552338043","59.592065415400462","Rio De Janeiro","4.45","0.46410000000000001","2.065245","2.31","0.89404545454545448","0.62533379810373668","98.160638290661012","86.086879780909712","Rio De Janeiro","170.79","0.46410000000000001","79.263638999999998","2.31","34.313263636363637","34.312593993506496","73.816199567787464","64.736807020949612","Rio De Janeiro","11214.29","0.46410000000000001","5204.5519890000005","2.31","2253.0528090909092","2250.1778090909092","86.456257633441354","75.822137944528066","Rio De Janeiro","3.13","0.46410000000000001","1.4526330000000001","2.31","0.6288454545454546","0.4771419115870843","98.447734192699343","86.338662886997326"
"42","Rome",71.1555081581818,"Rome","0.22","0.22","4.3478260869565304","3.8130434782608771","Rome","1708.68","1.3277000000000001","2268.6144360000003","7.97","284.64422032622338","284.64422032622338","97.365677524286681","85.389699188799426","Rome","0.49","0.20700000000000002","63.874345549738216","56.017801047120415","Rome","0.13","1.3277000000000001","0.17260100000000003","7.9660000000000002","2.1667210645242282E-2","1.1079491346996668E-2","98.915326454863518","86.748741300915299","Rome","3.62","1.3277000000000001","4.8062740000000002","7.97","0.60304567126725228","0.33433401482553449","99.016587322059877","86.837547081446516","Rome","35","1.3277000000000001","46.469500000000004","7.97","5.8305520702634883","5.8298824274063454","95.551240513866176","83.79843793066064","Rome","9413.33","1.3277000000000001","12498.078241000001","7.97","1568.140306273526","1565.265306273526","90.578722286819669","79.43753944554085","Rome","1.96","1.3277000000000001","2.6022920000000003","7.97","0.3265109159347554","0.17480737297638513","99.431306491117638","87.201255792710171"
"43","San Francisco",77.7360890894533,"San Francisco","8.5000000000000006E-2","8.5000000000000006E-2","63.04347826086957","55.289130434782614","San Francisco","4275.2299999999996","1","4275.2299999999996","11.05","386.8986425339366","386.8986425339366","96.419334323099818","84.559756201358539","San Francisco","0.48449999999999999","0.20150000000000001","64.83420593368237","56.859598603839437","San Francisco","0.53","1","0.53","11.05","4.7963800904977372E-2","3.7376081606731754E-2","96.340910817113112","84.490978786608196","San Francisco","4.72","1","4.72","11.05","0.42714932126696825","0.15843766482525046","99.533970217377714","87.291291880640259","San Francisco","80","1","80","11.05","7.239819004524886","7.2391493616677431","94.475834668146675","82.85530700396464","San Francisco","9149.32","1","9149.32","11.05","827.99276018099545","825.11776018099545","95.033644754288019","83.34450644951059","San Francisco","3.62","1","3.62","11.05","0.32760180995475113","0.17589826699638086","99.427757531268369","87.198143354922365"
"44","Santiago",69.1793962763685,"Santiago","0.19","0.19","17.391304347826093","15.252173913043483","Santiago","708286","2E-3","1416.5720000000001","2.5299999999999998","559.90988142292497","559.90988142292497","94.818151644477638","83.155518992206893","Santiago","0.494","0.21100000000000002","63.176265270506107","55.405584642233855","Santiago","167.27","2E-3","0.33454","2.5249999999999999","0.13249108910891089","0.12190336981066527","88.065755353249031","77.233667444799394","Santiago","1722.74","2E-3","3.4454799999999999","2.5299999999999998","1.3618498023715415","1.0931381459298237","96.78463493459283","84.880124837637908","Santiago","34054","2E-3","68.108000000000004","2.5299999999999998","26.920158102766802","26.919488459909658","79.457848226079506","69.684532894271726","Santiago","1121428.57","2E-3","2242.8571400000001","2.5299999999999998","886.50479841897243","883.62979841897243","94.681462820915584","83.035642893942963","Santiago","1483.05","2E-3","2.9661","2.5299999999999998","1.1723715415019764","1.0206679985436062","96.679503526581158","84.787924592811677"
"45","Sao Paulo",65.1101832599728,"Sao Paulo","0.185","0.185","19.565217391304358","17.158695652173922","Sao Paulo","4270.46","0.46410000000000001","1981.920486","2.31","857.97423636363635","857.97423636363635","92.059628641518316","80.73629431861157","Sao Paulo","0.56000000000000005","0.27700000000000008","51.657940663176248","45.30401396160557","Sao Paulo","1.32","0.46410000000000001","0.61261200000000005","2.3069999999999999","0.26554486345903772","0.25495714416079213","75.03989481523223","65.809987752958662","Sao Paulo","6.34","0.46410000000000001","2.9423940000000002","2.31","1.2737636363636364","1.0050519799219186","97.043732270077868","85.107353200858284","Sao Paulo","184.66","0.46410000000000001","85.700705999999997","2.31","37.099872727272725","37.099203084415585","71.689749543846943","62.871910349953772","Sao Paulo","9386.17","0.46410000000000001","4356.1214970000001","2.31","1885.7668818181819","1882.8918818181819","88.666938919936726","77.760905432784512","Sao Paulo","3.49","0.46410000000000001","1.6197090000000001","2.31","0.70117272727272728","0.54946918431435698","98.212434904031923","86.132305410835997"
"46","Seoul",78.64935400307,"Seoul","0.1","0.1","56.521739130434781","49.5695652173913","Seoul","2177050","8.9999999999999998E-4","1959.345","4.46","439.31502242152465","439.31502242152465","95.934231736175178","84.134321232625638","Seoul","0.311","2.8000000000000025E-2","95.113438045375219","83.414485165794062","Seoul","277.08999999999997","8.9999999999999998E-4","0.24938099999999996","4.4569999999999999","5.595265873906214E-2","4.5364939440816529E-2","95.558807877808306","83.80507450883789","Seoul","3918.27","8.9999999999999998E-4","3.526443","4.46","0.79068228699551568","0.52197063055379789","98.464671517593374","86.353516920929394","Seoul","55320.2","8.9999999999999998E-4","49.788179999999997","4.46","11.163269058295963","11.162599415438821","91.481865945375773","80.22959643409456","Seoul","11671584.42","8.9999999999999998E-4","10504.425977999999","4.46","2355.2524614349772","2352.3774614349772","85.841121462553986","75.282663522659846","Seoul","3000","8.9999999999999998E-4","2.6999999999999997","4.46","0.60538116591928248","0.45367762296091219","98.524069580646895","86.405609022227324"
"47","Shanghai",75.1497534949995,"Shanghai","0.11600000000000001","0.11600000000000001","49.565217391304351","43.468695652173913","Shanghai","12994","0.1615","2098.5309999999999","2.75","763.10218181818175","763.10218181818175","92.937649580498771","81.506318682097429","Shanghai","0.37","8.7000000000000022E-2","84.816753926701566","74.384293193717269","Shanghai","1.57","0.1615","0.25355500000000003","2.746","9.2336125273124556E-2","8.1748405974878938E-2","91.996894934886626","80.681276857895568","Shanghai","15.33","0.1615","2.4757950000000002","2.75","0.90028909090909093","0.63157743446737313","98.142273209980686","86.070773605153065","Shanghai","200.47","0.1615","32.375905000000003","2.75","11.773056363636364","11.772386720779222","91.016539741470837","79.821505353269927","Shanghai","57159.15","0.1615","9231.202725000001","2.75","3356.8009909090911","3353.9259909090911","79.812835521771675","69.995856752593753","Shanghai","17.09","0.1615","2.7600350000000002","2.75","1.0036490909090909","0.85194554795072064","97.228401212194569","85.269307863094639"
"48","Singapore",73.1939248998615,"Singapore","7.0000000000000007E-2","7.0000000000000007E-2","69.565217391304344","61.008695652173913","Singapore","5011.2700000000004","0.79949999999999999","4006.5103650000001","4","1001.62759125","1001.62759125","90.730147013347334","79.570338930705617","Singapore","0.47799999999999998","0.19500000000000001","65.968586387434556","57.854450261780109","Singapore","0.48","0.79949999999999999","0.38375999999999999","3.9980000000000002","9.5987993996998491E-2","8.5400274698752873E-2","91.639379840462084","80.367736120085254","Singapore","3.09","0.79949999999999999","2.4704549999999998","4","0.61761374999999996","0.34890209355828217","98.97373666169112","86.799967052303117","Singapore","120","0.79949999999999999","95.94","4","23.984999999999999","23.984330357142856","81.697655394677184","71.648843781131887","Singapore","24357.68","0.79949999999999999","19473.96516","4","4868.4912899999999","4865.6162899999999","70.714023922885232","62.016198980370348","Singapore","3.24","0.79949999999999999","2.5903800000000001","4","0.64759500000000003","0.49589145704162974","98.386737081347889","86.285168420342103"
"49","Sydney",80.3428281595625,"Sydney","0.1","0.1","56.521739130434781","49.5695652173913","Sydney","3150.02","0.96499999999999997","3039.7692999999999","16.28","186.71801597051595","186.71801597051595","98.271963978302452","86.184512408971244","Sydney","0.33","4.7000000000000042E-2","91.79755671902268","80.506457242582897","Sydney","0.7","0.96499999999999997","0.67549999999999999","16.28","4.149262899262899E-2","3.0904909694383375E-2","96.974433490629821","85.046578171282349","Sydney","5.53","0.96499999999999997","5.3364500000000001","16.28","0.32779176904176904","5.9080112600051249E-2","99.826221296162942","87.547596076734905","Sydney","136.44","0.96499999999999997","131.66460000000001","16.28","8.0875061425061432","8.0868364996490012","93.828968072923502","82.288004999953912","Sydney","11350","0.96499999999999997","10952.75","16.28","672.77334152334151","669.89834152334151","95.967905063892445","84.163852741033679","Sydney","4.12","0.96499999999999997","3.9758","16.28","0.24421375921375921","9.2510216255388938E-2","99.699040386031939","87.436058418550004"
"50","Tehran",80.6060372374417,"Tehran","0.04","0.04","82.608695652173907","72.44782608695651","Tehran","601.71","1E-4","6.0171000000000009E-2","2.2400000000000002","2.6862053571428571E-2","2.6862053571428571E-2","99.999751397335999","87.699781975463665","Tehran","0.38300000000000001","0.10000000000000003","82.547993019197207","72.394589877835955","Tehran","2480.5500000000002","1E-4","0.24805500000000003","2.2429999999999999","0.11059072670530541","0.10000300740705979","90.20978371918406","79.113980321724426","Tehran","44247.199999999997","1E-4","4.4247199999999998","2.2400000000000002","1.9753214285714282","1.7066097721297104","94.980164710178698","83.297604450826725","Tehran","15","1E-4","1.5E-3","2.2400000000000002","6.6964285714285704E-4","0","100","87.7","Tehran","2615.0500000000002","1","2615.0500000000002","2.2400000000000002","1167.4330357142858","1164.5580357142858","92.990565482026469","81.552725927737214","Tehran","58812.800000000003","1E-4","5.8812800000000003","2.2400000000000002","2.6255714285714284","2.4738678856130583","91.951869166463979","80.641789258988908"
