"","0.755","X2","89","X4","X5","X6","X7","90","X9","X10","X11","X12","91","X14","X15","X16","X17","92","X19","X20","X21","X22","93","X24","X25","X26","X27"
"1","Civic Engagement Attribute Totals
(sorted by winner below)",NA,"Voting age","raw data","difference","raw score","weighted score","Average age of city councillors (elected officials) in your city","raw data","difference","raw score","weighted score","Volunteer opportunities","raw data","difference","raw score","weighted score","Political influence - Youth advisory board","raw data","difference","raw score","weighted score","Volunteerism in high school scale","raw data","difference","raw score","weighted score"
"31","Miami","15.775300150343639","Miami","18","2","60","45.3","Miami","50.833333333333336","11.833333333333336","39.003436426116821","29.4475945017182","Miami","7","121","5.46875","4.12890625","Miami","0","1200","0","0","Miami","0","200","0","0"
"32","Montreal","14.25245736683849","Montreal","18","2","60","45.3","Montreal","53","14","27.835051546391753","21.015463917525775","Montreal","7","121","5.46875","4.12890625","Montreal","13","1187","1.0833333333333428","0.81791666666667384","Montreal","0","200","0","0"
"33","Moscow","19.939637564432989","Moscow","18","2","60","45.3","Moscow","51.97","12.969999999999999","33.144329896907223","25.023969072164952","Moscow","45","83","35.15625","26.54296875","Moscow","45","1155","3.75","2.8312499999999998","Moscow","0","200","0","0"
"34","Mumbai","19.209204252577315","Mumbai","18","2","60","45.3","Mumbai","46.27","7.2700000000000031","62.525773195876269","47.206958762886586","Mumbai","6","122","4.6875","3.5390625","Mumbai","0","1200","0","0","Mumbai","0","200","0","0"
"35","Nairobi","17.556668814432989","Nairobi","18","2","60","45.3","Nairobi","51","12","38.144329896907209","28.798969072164944","Nairobi","20","108","15.625","11.796875","Nairobi","30","1170","2.5","1.8875","Nairobi","0","200","0","0"
"36","New Delhi","19.961771907216495","New Delhi","18","2","60","45.3","New Delhi","45","6","69.072164948453604","52.149484536082468","New Delhi","4","124","3.125","2.359375","New Delhi","0","1200","0","0","New Delhi","0","200","0","0"
"37","New York City","18.962126610824743","New York City","18","2","60","45.3","New York City","48","9","53.608247422680407","40.47422680412371","New York City","15","113","11.71875","8.84765625","New York City","3","1197","0.25","0.18875","New York City","0","200","0","0"
"38","Osaka","9.7263438370103081","Osaka","20","4","20","15.1","Osaka","52.360465120000001","13.360465120000001","31.131623092783499","23.504375435051543","Osaka","17","111","13.28125","10.02734375","Osaka","0","1200","0","0","Osaka","0","200","0","0"
"39","Paris","20.16698077749141","Paris","18","2","60","45.3","Paris","48","9","53.608247422680407","40.47422680412371","Paris","17","111","13.28125","10.02734375","Paris","80","1120","6.6666666666666714","5.0333333333333368","Paris","0","200","0","0"
"40","Quito","37.350608891752572","Quito","18","2","60","45.3","Quito","46","7","63.917525773195877","48.257731958762889","Quito","30","98","23.4375","17.6953125","Quito","0","1200","0","0","Quito","200","0","100","75.5"
"41","Rio De Janeiro","24.728439110824741","Rio De Janeiro","16","0","100","75.5","Rio De Janeiro","48","9","53.608247422680407","40.47422680412371","Rio De Janeiro","13","115","10.15625","7.66796875","Rio De Janeiro","0","1200","0","0","Rio De Janeiro","0","200","0","0"
"42","Rome","21.002572487113405","Rome","18","2","60","45.3","Rome","45.33","6.3299999999999983","67.37113402061857","50.865206185567018","Rome","15","113","11.71875","8.84765625","Rome","0","1200","0","0","Rome","0","200","0","0"
"43","San Francisco","19.40544587628866","San Francisco","18","2","60","45.3","San Francisco","47","8","58.762886597938142","44.365979381443296","San Francisco","8","120","6.25","4.71875","San Francisco","42","1158","3.5","2.6425000000000001","San Francisco","0","200","0","0"
"44","Santiago","16.613648518041238","Santiago","18","2","60","45.3","Santiago","54","15","22.680412371134011","17.123711340206178","Santiago","35","93","27.34375","20.64453125","Santiago","0","1200","0","0","Santiago","0","200","0","0"
"45","Sao Paulo","16.85647766323024","Sao Paulo","18","2","60","45.3","Sao Paulo","50","11","43.298969072164944","32.69072164948453","Sao Paulo","8","120","6.25","4.71875","Sao Paulo","25","1175","2.0833333333333428","1.5729166666666738","Sao Paulo","0","200","0","0"
"46","Seoul","15.971298539518898","Seoul","19","3","40","30.2","Seoul","58","19","2.0618556701030855","1.5567010309278295","Seoul","28","100","21.875","16.515625","Seoul","142","1058","11.833333333333343","8.9341666666666733","Seoul","60","140","30","22.65"
"47","Shanghai","13.318496240206184","Shanghai","18","2","60","45.3","Shanghai","54.444444400000002","15.444444400000002","20.389461855670092","15.39404370103092","Shanghai","10","118","7.8125","5.8984375","Shanghai","0","1200","0","0","Shanghai","0","200","0","0"
"48","Singapore","8.8314568298969061","Singapore","21","5","0","0","Singapore","50","11","43.298969072164944","32.69072164948453","Singapore","6","122","4.6875","3.5390625","Singapore","90","1110","7.5","5.6624999999999996","Singapore","6","194","3","2.2650000000000001"
"49","Sydney","20.998768343724219","Sydney","18","2","60","45.3","Sydney","53.670824942500005","14.670824942500005","24.377191018041202","18.404779218621108","Sydney","70","58","54.6875","41.2890625","Sydney","0","1200","0","0","Sydney","0","200","0","0"
