"","0.81799999999999995","X2","61","X4","X5","X6","X7","62","X9","X10","X11","X12","63","X14","X15","X16","X17","64","X19","X20","X21","X22","65","X24","X25","X26","X27","66","X29","X30","X31","X32"
"1","Financial Services Attribute Totals
(sorted by winner below)",NA,"Business banking availability","raw data","difference","raw score","weighted score","Personal Banking availability","raw data","difference","raw score","weighted score","Number of ""Chartered"" banks in your city","raw data","difference","raw score","weighted score","Online banking","raw data","difference","raw score","weighted score","Mobile banking","raw data","difference","raw score","weighted score","Financial literacy","raw data","difference","raw score","weighted score"
"106","Amsterdam","13.301151144798931","Shanghai","18","10","23.07692307692308","18.876923076923077","Manila","18","17","0","0","Amsterdam","12","529","2.0370370370370381","1.6662962962962971","Durban","10","388","2.2670025188916867","1.8544080604533997","Sao Paulo","7","160","3.6144578313252964","2.9566265060240924","Warsaw","2","1","66.666666666666657","54.533333333333324"
"107","Dubai","13.29538127882366","Singapore","18","10","23.07692307692308","18.876923076923077","Mexico City","18","17","0","0","Casablanca","12","529","2.0370370370370381","1.6662962962962971","Manila","10","388","2.2670025188916867","1.8544080604533997","Amsterdam","6","161","3.0120481927710756","2.4638554216867399","Bangkok","0","3","0","0"
"108","Durban","13.181975537621646","Sydney","18","10","23.07692307692308","18.876923076923077","Miami","18","17","0","0","Tokyo","11","530","1.8518518518518619","1.5148148148148228","Tel Aviv","10","388","2.2670025188916867","1.8544080604533997","Durban","6","161","3.0120481927710756","2.4638554216867399","Cairo","0","3","0","0"
"109","Jakarta","12.487925834925724","Tehran","18","10","23.07692307692308","18.876923076923077","Moscow","18","17","0","0","Durban","10","531","1.6666666666666714","1.3633333333333371","Casablanca","9","389","2.0151133501259437","1.6483627204030218","Jakarta","6","161","3.0120481927710756","2.4638554216867399","Istanbul",NA,"3","0","0"
"110","Accra","12.235042735042732","Toronto","18","10","23.07692307692308","18.876923076923077","Nairobi","18","17","0","0","Manila","10","531","1.6666666666666714","1.3633333333333371","Osaka","9","389","2.0151133501259437","1.6483627204030218","Singapore","6","161","3.0120481927710756","2.4638554216867399","Lagos","0","3","0","0"
"111","Rio De Janeiro","10.046119886539023","Vancouver","18","10","23.07692307692308","18.876923076923077","New York City","18","17","0","0","Tel Aviv","10","531","1.6666666666666714","1.3633333333333371","Montreal","8","390","1.7632241813602008","1.4423173803526441","Quito","5","162","2.4096385542168548","1.9710843373493871","Montreal","0","3","0","0"
"112","Paris","8.1178472679929374","Warsaw","18","10","23.07692307692308","18.876923076923077","Paris","18","17","0","0","Osaka","9","532","1.481481481481481","1.2118518518518513","Seoul","8","390","1.7632241813602008","1.4423173803526441","Tokyo","5","162","2.4096385542168548","1.9710843373493871","Moscow",NA,"3","0","0"
"113","Istanbul","7.8938761318822621","Seoul","19","11","15.384615384615387","12.584615384615386","Quito","18","17","0","0","Montreal","8","533","1.2962962962963047","1.0603703703703773","Caracas","7","391","1.5113350125944578","1.2362720403022665","Vancouver","5","162","2.4096385542168548","1.9710843373493871","Nairobi","0","3","0","0"
"114","Lagos","5.772788304502213","Bangkok","20","12","7.6923076923076934","6.292307692307693","San Francisco","18","17","0","0","Caracas","7","534","1.1111111111111143","0.90888888888889141","Karachi","7","391","1.5113350125944578","1.2362720403022665","Cairo","4","163","1.8072289156626482","1.4783132530120462","Paris","0","3","0","0"
"115","Nairobi","5.3830184367112421","Casablanca","20","12","7.6923076923076934","6.292307692307693","Santiago","18","17","0","0","Sao Paulo","7","534","1.1111111111111143","0.90888888888889141","Sao Paulo","7","391","1.5113350125944578","1.2362720403022665","Casablanca","3","164","1.2048192771084274","0.98554216867469357","Quito","0","3","0","0"
"116","Bangkok","5.3018222129070631","Cairo","21","13","0","0","Sydney","18","17","0","0","Singapore","6","535","0.92592592592593803","0.7574074074074173","Singapore","6","392","1.2594458438287148","1.0302267002518886","Caracas","2","165","0.60240963855420659","0.49277108433734096","Rio De Janeiro","0","3","0","0"
"117","Quito","4.7653766127683959","Dubai","21","13","0","0","Warsaw","18","17","0","0","Vancouver","5","536","0.74074074074074758","0.60592592592593153","Vancouver","5","393","1.0075566750629719","0.82418136020151089","Accra","1","166","-1.4210854715202004E-14","-1.1624479157035238E-14","Rome","0","3","0","0"
"118","Cairo","1.7320106004763527","Jakarta","21","13","0","0","Washington",NA,"-1","105.88235294117646","0","Accra","1","540","0","0","Accra","1","397","0","0","Bangkok","1","166","-1.4210854715202004E-14","-1.1624479157035238E-14","Washington","0","3","0","0"
