"","0.77400000000000002","X2","81","X4","X5","X6","X7","100","X9","X10","X11","X12"
"1","Arts Attribute Totals
(sorted by winner below)",NA,"Grafitti and street art","raw data","difference","raw score","weighted score","Number of design schools","raw data","difference","raw score","weighted score"
"108","Lima","16.176562499999999","Beirut","0","1","0","0","Boston","5","60","6.25","4.4624999999999995"
"109","Lagos","15.618749999999999","Buenos Aires","0","1","0","0","Jakarta","5","60","6.25","4.4624999999999995"
"110","Shanghai","7.8093749999999993","Dubai","0","1","0","0","Vancouver","5","60","6.25","4.4624999999999995"
"111","Durban","7.2515624999999995","Durban","0","1","0","0","Beirut","4","61","4.6875","3.3468749999999998"
"112","Buenos Aires","6.1359374999999998","Jakarta","0","1","0","0","Detroit","4","61","4.6875","3.3468749999999998"
"113","Manila","5.0203125000000002","Lagos","0","1","0","0","Miami","4","61","4.6875","3.3468749999999998"
"114","Singapore","4.4624999999999995","Lima","0","1","0","0","Montreal","4","61","4.6875","3.3468749999999998"
"115","Jakarta","2.2312499999999997","London","0","1","0","0","Accra","3","62","3.125","2.2312499999999997"
"116","Beirut","1.6734374999999999","Manila","0","1","0","0","Washington","3","62","3.125","2.2312499999999997"
"117","Miami","1.6734374999999999","Miami","0","1","0","0","Dallas","2","63","1.5625","1.1156249999999999"
"118","Accra","1.1156249999999999","Shanghai","0","1","0","0","Dubai","2","63","1.5625","1.1156249999999999"
"119","Dubai","0.55781249999999993","Singapore","0","1","0","0","Cairo","1","64","0","0"
