"","0.83299999999999996","X2","58","X4","X5","X6","X7","X8","X9","59","X11","X12","X13","X14","60","X16","X17","X18","X19"
"1","Public Space Attribute Totals
(sorted by winner below)",NA,"Total green space/public space","raw data","population","per 1000","difference","raw score","weighted score","Number of municipally maintained sports facilities/fields","raw data","difference","raw score","weighted score","Number of public libraries","raw data","difference","raw score","weighted score"
"21","Jakarta","6.1765249837715546","Jakarta","66.099999999999994","11374022","5.8114886712897157E-3","1.7978815596352344","0.32219700563780407","0.26839010569629079","Jakarta","0","15270","0","17.232789783889977","Jakarta","8","480","1.2345679012345698","1.0283950617283966"
"22","Johannesburg","6.4030271231938114","Johannesburg","222.78","4434827","5.023420304783028E-2","1.7534588452586939","2.7850725762610438","2.3199654560254492","Johannesburg","551","14719","3.6083824492468892","3.0057825802226588","Johannesburg","83","405","16.666666666666657","13.883333333333324"
"23","Karachi","4.8849784491552617","Karachi","17","23500000","7.2340425531914894E-4","1.8029696440512049","4.0104409873777058E-2","3.3406973424856289E-2","Karachi","261","15009","1.709233791748531","1.4237917485265261","Karachi","79","409","15.843621399176953","13.197736625514402"
"24","Lagos","0.58124252221069395","Lagos","3.88","13400000","2.8955223880597011E-4","1.8034034960677181","1.6050869973469162E-2","1.3370374687899811E-2","Lagos","3","15267","1.9646365422403278E-2","1.636542239686193E-2","Lagos","12","476","2.0576131687242736","1.7139917695473199"
"25","Lima","5.9248952579175365","Lima","2.4077305299999998","9752000","2.468960756767842E-4","1.8034461522308474","1.368593519669048E-2","1.140038401884317E-2","Lima","1591","13679","10.419122462344475","8.6791290111329484","Lima","55","433","10.905349794238674","9.0841563786008148"
"26","London","23.637621635455513","London","51.71","8173941","6.3262017672992745E-3","1.7973668465392247","0.35073362992638124","0.29216111372867554","London","2263","13007","14.81990831696136","12.344983628028812","London","342","146","69.958847736625515","58.275720164609048"
"27","Los Angeles","4.3826575662228562","Los Angeles","40.557594999999999","3884307","1.0441397912162967E-2","1.7932516503943612","0.57888754163015221","0.48221332217791679","Los Angeles","91","15179","0.59593975114603381","0.49641781270464613","Los Angeles","73","415","14.609053497942384","12.169341563786006"
"28","Madrid","13.43629607856394","Madrid","35","3165235","1.1057630792026501E-2","1.7926354175144976","0.61305260621324464","0.51067282097563271","Madrid","69","15201","0.45186640471513329","0.37640471512770601","Madrid","232","256","47.325102880658434","39.421810699588477"
"29","Manila","6.2722755816888425","Manila","10.64","11855975","8.9743778980640567E-4","1.8027956105167178","4.9753143558177726E-2","4.1444368583962041E-2","Manila","0","15270","0","17.232789783889977","Manila","11","477","1.8518518518518476","1.542592592592589"
"30","Mexico City","29.947430101843661","Mexico City","46.910724000000002","8851080","5.3E-3","1.798393048306524","0.29383914928324373","0.24476801135294202","Mexico City","3668","11602","24.02095612311723","20.009456450556652","Mexico City","408","80","83.539094650205755","69.588065843621393"
